credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,PD,Expected_Loss,Actual_Default
0,3497.896186,2971.808504,53637.48585,3,658,5.854741719228345e-15,1.843135085673352e-11,0
5,3377.803446,17709.23365,62376.25742,2,594,0.9999999999980156,3040.0231013939674,1
1,3975.136409,9023.635127,82516.69975,6,612,6.540930249620923e-15,2.340098098559783e-11,0
5,3104.896562,14840.71894,50445.03487,3,591,0.9999999999537093,2794.406905670645,1
2,4842.222061,15145.55962,78616.06425,4,598,0.00014335574676639423,0.6247443236070273,0
0,4303.708511,6034.543867,77899.42909,4,615,7.940984527097868e-17,3.0758114425491363e-13,0
1,2051.985687,5439.835831,46037.47479,5,657,6.082806223954987e-12,1.1233648177515133e-08,0
0,3145.44187,705.9337988,45703.27225,6,681,2.354645352628223e-19,6.665760073041954e-16,0
2,2985.454008,11036.1932,103003.787,9,607,4.0170338647157266e-17,1.0793402866518569e-13,0
1,6982.22201,5906.09034,89549.70161,6,521,7.727189532401214e-16,4.855765754571603e-12,0
1,5188.83626,12883.91174,95153.69929,5,685,7.218853938149627e-14,3.3711705962923124e-10,0
3,3455.303603,12021.09403,66572.18126,6,614,0.00011992347758835867,0.3729348217758109,0
1,9349.747273,9662.872488,100919.895,5,613,9.997386607043908e-15,8.412573434970196e-11,0
1,5674.409904,7347.702549,77380.82735,4,704,8.351313900586804e-14,4.264990047801237e-10,0
1,2117.037916,5145.084973,46403.2276,6,643,3.534968041991409e-13,6.735295239069684e-10,0
5,4489.184508,20255.22384,60186.58663,3,550,0.9999999999999429,4040.2660571997694,1
5,900.3447633,3597.717635,13225.30629,3,637,0.9999999562540752,810.3102515222271,1
0,2609.463116,2138.720503,39218.14535,4,673,4.0727469414049995e-15,9.564914631958343e-12,0
5,3101.142819,22145.00313,77484.67239,6,586,0.9999999707384137,2791.028455430078,1
0,2862.983022,1570.177266,42948.46685,4,653,1.235943967482559e-15,3.184637935541298e-12,0
1,4943.225431,5678.179907,77397.90395,6,637,1.898941681239821e-16,8.448207129621521e-13,0
1,2286.8943,3628.561857,34813.5786,6,628,2.9211910861917482e-12,6.012409719800446e-09,0
0,4249.925633,4873.728859,72676.09047,5,598,8.285640501297005e-18,3.1692020357056606e-14,0
1,3855.164506,8177.181269,100781.1443,7,605,4.2182395026401063e-19,1.463580648754671e-15,0
1,6321.090467,8821.469102,84052.91329,3,626,2.6924493332357905e-11,1.5317294231877536e-07,0
5,3865.490288,24067.53714,75243.26667,2,658,0.9999999999999047,3478.9412591996684,1
1,5036.969342,9607.868113,86861.7637,6,626,3.904553625310009e-15,1.7700405214393326e-11,0
0,3423.943271,2032.487521,53734.12458,6,680,1.4416152135892686e-19,4.442407838946184e-16,0
2,3670.92571,9596.22646,75718.62338,8,687,4.534893199907272e-14,1.4982530435679398e-10,0
0,2134.419352,2653.412711,33827.26169,4,603,4.0982117046952243e-13,7.872572133984956e-10,0
2,3120.340423,9136.100488,63561.85038,8,689,8.032093794018627e-13,2.2556580252123383e-09,0
3,5063.781165,14773.96364,86855.09523,6,573,8.501537083458905e-05,0.3874493102109142,0
1,3214.507783,8410.327087,82139.09878,4,710,2.102462672778566e-14,6.082544362602315e-11,0
5,2351.464523,12499.3769,44442.41288,3,529,0.9999999999664388,2116.318070628974,1
0,4060.221824,5329.966967,66095.85096,3,707,7.949356412280813e-16,2.904853535270721e-12,0
3,5527.944216,14795.18286,78210.76357,4,668,0.018301969480259417,91.0550396968277,0
5,7027.3671,35406.58482,106080.8378,5,693,0.9999999999994547,6324.6303899965515,1
2,3329.761679,7936.456101,50041.0538,4,669,1.829288779995568e-06,0.0054819861115085146,0
4,4922.623098,18898.45083,73887.05212,3,607,0.9999997400332564,4430.359636453533,1
2,3968.778489,9360.604758,59476.77818,5,594,7.327375173547283e-07,0.002617265607264639,0
5,3619.277312,21815.56043,66905.29971,5,583,0.9999999999317157,3257.3495805775747,1
1,4130.264828,8578.760879,71635.78375,6,576,4.0543602749711687e-13,1.5071023479378445e-09,0
0,4326.480237,1355.96951,77635.76514,5,681,6.875549177671938e-22,2.6772234872147318e-18,0
1,3589.128043,6515.118653,73042.07805,6,551,2.4689075243475812e-14,7.975102708088649e-11,0
2,3805.967124,7663.159748,77254.5919,7,650,1.1135956094868667e-13,3.814477451223981e-10,0
0,3807.987647,5124.07778,69989.35983,4,749,2.1677143016144002e-18,7.429166354495581e-15,0
1,2778.823217,5948.540411,57640.3725,7,666,1.1708210049182726e-15,2.9281541322763506e-12,0
0,2705.786617,4168.680212,44755.64365,4,632,5.401854513849614e-14,1.3154639085499794e-10,0
0,5151.729762,6112.092279,78095.79358,4,699,7.100384669101173e-18,3.2921336719311336e-14,0
2,4929.427201,10002.59086,65532.66639,4,697,2.1033231400362766e-07,0.0009331360469088801,0
2,5776.644534,12176.59025,92279.76366,7,670,7.674698845507809e-13,3.990060642239892e-09,0
1,3306.618675,4370.404382,66940.61755,6,667,1.3339913991975035e-16,3.969900785588261e-13,0
0,3258.508608,3982.097842,72023.81125,2,667,7.881917809731198e-16,2.3114967327501853e-12,0
0,5936.98611,6238.540503,90006.56682,3,663,1.6107960019686466e-17,8.606946140758249e-14,0
0,3722.703275,5300.532067,61368.58689,3,568,3.3597762406742665e-13,1.1256705012982753e-09,0
1,1675.015157,3570.914179,32213.09521,6,549,6.812312157173918e-11,1.0269653505733511e-07,0
1,1954.430995,4649.862539,36647.32798,4,622,2.0555622208864264e-09,3.6157090649863214e-06,0
1,3560.648035,5273.74225,60497.19791,6,563,1.480073507183715e-13,4.743018742508328e-10,0
1,6083.822522,9500.812384,108910.5247,5,576,4.62886105256278e-16,2.534505221051106e-12,0
1,4347.140086,4378.768765,64494.05848,7,651,4.992180505769464e-17,1.9531537193860375e-13,0
0,4117.447113,4849.519196,65346.7355,6,730,5.0745457224515466e-20,1.880475627122516e-16,0
1,1744.210545,4810.23789,38507.6884,6,674,7.816154503930343e-13,1.2269717196394094e-09,0
1,4074.087343,6280.7637,59854.96324,4,648,1.5020101413746443e-11,5.507388455428871e-08,0
1,3565.497891,7676.291057,74854.43305,3,641,1.5610501687355546e-11,5.009328975934633e-08,0
0,7256.357487,7861.740754,100100.563,3,649,2.007739142834515e-17,1.3111985664945177e-13,0
0,4928.195468,2682.334457,70876.93335,6,659,6.614147355160587e-21,2.933622991834793e-17,0
1,5315.399029,12105.95241,116033.6859,5,718,1.0741953083011198e-17,5.1387990288301156e-14,0
1,4366.062947,11417.62362,96329.80726,3,585,3.5205541997970137e-11,1.383386512017508e-07,0
0,3131.073371,1533.744082,56998.06403,1,600,4.4006461377024603e-13,1.2400871343258757e-09,0
0,3253.503921,628.4325069,62843.25069,2,616,6.916167757940037e-16,2.025160102687652e-12,0
4,5108.404937,17284.78961,70545.99578,2,563,0.999999989055716,4597.564392982949,1
1,7805.324108,10853.97551,88718.7445,4,690,1.521501770686478e-12,1.0688233005993469e-08,0
2,5377.604259,8269.899401,80688.2867,7,744,7.616392767609891e-15,3.686215156678417e-11,0
0,6654.6523,8469.802427,99662.12718,3,545,1.4381147628790387e-15,8.613138343011255e-12,0
0,6852.887605,8754.876062,88322.34534,3,649,2.5008649718722636e-15,1.5424331910769898e-11,0
0,2966.921711,4857.329586,58210.72325,5,748,2.5839669913736594e-18,6.899784990492474e-15,0
0,1980.211157,3042.284581,37479.64349,4,659,3.067270927694268e-14,5.466459701305736e-11,0
5,2507.223732,10485.27556,39914.37282,5,670,0.9999954666749704,2256.491129345911,1
1,3769.898635,11005.09841,94156.84773,5,647,1.2572584577961467e-14,4.265763249499109e-11,0
0,3832.050996,4952.307538,62272.12896,2,646,1.8838744664753127e-13,6.497192723036122e-10,0
5,4760.317274,25902.08046,80421.18183,1,517,1.0,4284.2855466,1
0,2868.8141,3721.045706,53912.14422,5,614,1.8556012304722147e-16,4.791037476560436e-13,0
0,3349.438036,4395.227963,55398.92745,4,622,4.857350036714247e-15,1.4642453670423025e-11,0
3,3829.508886,18915.57846,86756.53084,3,590,0.9792117614811684,3374.9101276810625,1
1,4407.029168,5099.851662,68536.2575,6,654,6.014064457524702e-16,2.3853741734289113e-12,0
0,2980.151548,4717.582566,65385.30848,5,710,7.978019943795069e-19,2.1398137636928173e-15,0
5,8048.848585,41978.36884,116584.1308,5,513,1.0,7243.9637265,1
0,4509.247381,5719.27241,70465.41418,3,575,3.893403587739592e-14,1.5800687938071685e-10,0
1,3638.090473,7283.648801,72236.54038,6,662,2.2065786770198597e-15,7.224959576511806e-12,0
2,5961.543614,9784.970093,81393.61856,7,715,1.8861935116487224e-13,1.0120162395723908e-09,0
0,4691.827014,6200.265218,82738.61793,5,702,7.965003553496735e-20,3.363337695501178e-16,0
2,2680.995319,7376.82621,47246.61659,3,600,0.0002588888497755462,0.6246718149505802,0
0,2783.210112,3221.360471,43786.57317,5,571,9.467928485856127e-15,2.371611087137486e-11,0
0,3968.606398,762.1402058,76214.02058,7,620,1.1177113424409983e-23,3.9921807462556637e-20,0
2,4241.954095,12817.87288,81565.23724,4,656,2.0930968165787833e-07,0.0007990938551086051,0
0,5747.061674,4074.195879,76924.75829,4,595,2.6068561048012893e-17,1.3483586528582775e-13,0
2,3938.997937,7698.554252,62729.79164,8,646,8.643400806590864e-13,3.0641704151242993e-09,0
5,7280.118265,25469.08236,84578.50142,5,647,0.9999999998431515,6552.106437472312,1
1,5799.092346,7776.739268,90715.61717,5,676,3.6723871162041044e-16,1.916686081541541e-12,0
0,2166.350789,3560.775686,45460.54553,2,611,8.034937599677919e-12,1.5665844067765223e-08,0
3,5053.516846,14187.04871,69405.39591,5,635,0.018522489899650444,84.24334326397354,0
4,3889.452505,14572.86442,58593.22685,2,682,0.9999987694085022,3500.502946805535,1
0,3165.883223,3475.241718,70373.98777,6,712,1.69182677122171e-21,4.820513392109764e-18,0
1,4316.403162,9830.076529,76754.55177,4,640,1.6369954056518023e-11,6.35933893062142e-08,0
0,5602.809919,7139.589672,86047.25564,5,750,3.1955026213493146e-20,1.6113414404777797e-16,0
5,3503.789904,15676.54219,48407.68361,6,487,0.999999999184684,3153.4109110289737,1
1,3486.710864,3969.600437,44931.03673,6,568,2.6334031931636122e-12,8.263723970606273e-09,0
0,7839.876417,10009.64454,93606.95689,4,616,8.280301066195004e-16,5.8424883349069955e-12,0
0,2692.019959,498.832096,49883.2096,6,653,9.718106408908208e-20,2.3545202774820043e-16,0
0,4103.745176,5698.926522,79490.4045,4,598,4.8167804295648903e-17,1.7790155506510317e-13,0
3,2667.257142,11147.12182,67378.85873,9,687,3.2178326584122766e-10,7.724508425919891e-07,0
2,3770.718121,8124.054075,64019.84476,6,621,6.393285981818552e-10,2.1696551373940642e-06,0
0,2443.242314,3283.316209,61257.75117,5,654,2.0010042981112132e-18,4.4000445344770684e-15,0
4,3986.093951,15907.47316,64933.70364,1,603,0.9999999947286748,3587.4845369892023,1
1,3706.046085,7351.58788,68886.89942,7,642,8.615646875322693e-16,2.8736985934828937e-12,0
1,4313.569635,8695.767147,84824.97422,7,640,5.310504427049326e-17,2.0616507578747739e-13,0
1,4161.919208,5393.605755,57312.23888,6,771,5.293112134126033e-16,1.982655455500531e-12,0
2,9863.504126,22850.19416,136199.8083,4,751,5.7769791805243975e-09,5.1283132184626644e-05,0
5,3683.468893,15762.94873,52866.04111,2,562,0.9999999999995497,3315.122003698508,1
0,6259.050382,7184.769851,90007.26859,4,701,1.1837289494016174e-18,6.668117219642988e-15,0
0,5209.760975,734.0702006,73407.02006,5,584,4.5523682815997984e-20,2.1345075555575797e-16,0
0,1731.785141,1839.916305,29015.95045,3,667,9.176974350626727e-13,1.4303293037778142e-09,0
0,3979.541343,3715.293932,58942.30901,4,598,1.8322728650933053e-15,6.562445056466282e-12,0
0,1820.797385,3193.597105,42945.18409,6,647,3.339073615459391e-17,5.4717988566158595e-14,0
3,2708.901194,10299.55627,55337.40638,7,672,2.1018734056660137e-06,0.00512439064042096,0
2,5629.841346,11462.95642,88963.02604,4,715,7.470720788237967e-10,3.7853075500239436e-06,0
2,2740.565439,9229.716217,82680.943,8,663,4.2729328089930105e-15,1.053922678154589e-11,0
5,3021.175982,14112.91831,47595.36118,3,629,0.9999999997983469,2719.0583832516936,1
5,6165.982666,25371.39523,100796.4654,3,550,0.999999999993082,5549.384399361609,1
0,3931.343885,1770.920446,60457.0413,5,580,7.614271838041338e-18,2.694088892629037e-14,0
0,2724.627489,3226.609587,45611.22663,6,643,2.652464258708347e-17,6.504279329580093e-14,0
4,3336.450363,13465.5865,51250.14974,3,556,0.9999998290621132,3002.8048134068026,1
4,7023.706494,23030.02902,107029.6982,5,613,0.9966501709050136,6300.160449868579,1
0,5718.083929,2044.652044,97731.20651,3,662,3.2344437333220448e-21,1.6645338657687193e-17,0
1,2305.03445,4681.362495,54885.43693,7,578,7.410639281730258e-15,1.537360095682035e-11,0
0,1473.114962,3056.161324,28426.3689,2,751,5.2712639864159424e-12,6.988660062336982e-09,0
1,7117.686512,7013.935961,101791.1152,5,593,1.1727090914132677e-16,7.512278114206792e-13,0
1,5325.658225,9115.671444,84070.52297,6,678,9.126934155473184e-16,4.3746238758716274e-12,0
2,4820.244423,9645.019927,75271.61396,5,642,2.1208947222144717e-09,9.200907860871998e-06,0
0,3138.626946,677.1779234,67717.79234,7,536,1.7442759209293385e-21,4.9271682660190086e-18,0
1,4775.423687,8025.033698,87634.51986,6,563,2.419071930688811e-15,1.0396884058531354e-11,0
5,3792.74039,20003.76971,62976.44227,6,561,0.9999999981090844,3413.466344545423,1
5,5396.831301,33634.6884,88982.40664,5,665,0.9999999999999749,4857.148170899878,1
0,4945.33944,2570.333551,85901.95454,3,679,1.1358356156712142e-19,5.055383400781983e-16,0
0,3723.879762,3357.353599,73135.56642,6,688,1.763296501739339e-21,5.90967374150927e-18,0
0,3626.004987,4520.882516,68871.90874,3,668,3.1891962595170806e-16,1.0407637387377613e-12,0
0,7592.439761,5077.488279,105656.8063,3,584,6.978312887522654e-19,4.768417820873315e-15,0
0,2602.830124,4058.858487,56920.60118,5,553,8.17088600611283e-16,1.914068541283247e-12,0
0,4582.97717,1500.083335,66409.87028,2,590,3.552753536349827e-15,1.4653969512955222e-11,0
4,3504.961541,13380.91761,54919.41526,2,611,0.9999997767029584,3154.4646825172113,1
0,3281.44231,3363.199475,53918.57726,4,701,1.1606653330992215e-16,3.427790698603826e-13,0
0,1887.04748,2792.225783,35537.82382,6,642,2.4270639474949817e-16,4.1219864153273315e-13,0
1,5208.439216,10179.52335,97552.98548,5,683,7.660516292896703e-16,3.5909400127257113e-12,0
0,4886.954393,7272.02877,88636.46945,3,646,1.176289951889485e-16,5.17362781304527e-13,0
5,4031.462782,22986.02165,76205.73572,4,620,0.999999999957186,3628.3165036446576,1
0,3009.5324,5803.207527,50990.06157,3,734,4.563916220006321e-14,1.2361728361495096e-10,0
2,2193.782337,6560.645819,47120.02761,5,597,2.631930618324203e-07,0.0005196494612420213,0
0,4099.763634,6680.570657,106434.0102,4,548,2.058801552310478e-19,7.596539760406721e-16,0
3,5154.715069,17524.26925,92354.63755,5,631,0.0018080873645557928,8.388157665729818,0
0,3039.418834,4890.736733,62897.4933,5,617,5.554005408189231e-17,1.5192853777609385e-13,0
0,3401.826873,1793.308829,51898.33928,3,595,1.5539170489742726e-14,4.7575410980521835e-11,0
0,4517.207596,5082.071807,80402.47937,6,664,6.822643558164651e-21,2.7737367575167648e-17,0
0,4137.946973,3683.70113,67611.49698,6,597,4.438950977514451e-19,1.653132938463118e-15,0
5,7202.156418,23839.39676,90444.67237,3,598,0.9999999999927975,6481.940776153314,1
1,2426.134177,4611.682184,45810.2573,5,707,4.3464293454201064e-13,9.490518704555513e-10,0
0,6535.205764,2603.36006,101785.7617,3,589,3.545586772767764e-20,2.0854025202738647e-16,0
2,3236.483811,7635.657613,50220.6592,4,684,6.442349606066365e-07,0.0018765504184352418,0
2,3653.948847,9150.599565,53500.355,5,652,4.3015217204274617e-07,0.0014145786297631243,0
0,4345.166185,3811.517658,77900.27063,5,590,4.755469230392929e-19,1.8596973684340195e-15,0
2,2845.002894,6870.954791,62328.25136,10,826,1.3598223647600001e-18,3.4818287067613117e-15,0
0,5684.539839,2479.305945,87469.20461,4,674,6.12248518671946e-21,3.132315986183472e-17,0
0,5223.105902,6355.833139,90849.90576,4,719,9.125792886932999e-20,4.289848441935243e-16,0
1,3715.144335,8606.787686,60863.83064,2,641,9.040416668668804e-08,0.0003022780749538003,0
0,1875.113047,2365.397903,29565.60654,2,708,7.210716720503202e-12,1.2168818100752947e-08,0
5,3082.326356,14094.93598,48816.2736,6,655,0.9999966241649864,2774.084355517288,1
0,3931.279915,4855.824046,68704.04986,5,674,1.8266035224555714e-18,6.462800766448055e-15,0
3,3172.858434,10272.48658,55605.73422,7,726,3.666911357820932e-07,0.0010471131565553283,0
0,2556.369391,3448.657963,40100.23451,6,642,2.0033135424155764e-16,4.609088478366264e-13,0
1,4078.993798,8734.54876,77962.53052,6,679,1.961731378014664e-15,7.2017011118374285e-12,0
0,2869.587183,5336.227287,52424.20977,1,667,3.8378282173883166e-11,9.911684396855927e-08,0
5,4053.455001,19315.7395,71878.95566,4,696,0.9999999728988861,3648.109402032169,1
4,7520.946649,21433.03263,99504.60962,3,538,0.9999993476198209,6768.847568235131,1
1,2221.867147,4866.872092,45356.72074,6,617,8.469423235603505e-13,1.693613991710328e-09,0
0,2165.55003,3209.387565,41281.37712,6,673,2.812695843052121e-17,5.4819302105721567e-14,0
1,429.8596126,1461.304466,11771.47195,6,650,3.8816351502783584e-11,1.501702363757878e-08,0
